pipeline,type,segment_id,start,length,AVG,pvalue,class
avg,null,0,0,840,33.3333,0.000888107,unknown
avg,null,1,840,840,33.5714,0.00304737,unknown
avg,null,2,1680,840,31.5476,0.0495453,unknown
avg,null,3,2520,840,31.3095,0.0745854,unknown
avg,null,4,3360,840,32.0238,0.0241609,unknown
avg,null,5,4200,840,30.3571,0.0968144,unknown
avg,null,6,5040,840,40.119,7.21384e-18,unknown
avg,null,7,5880,840,42.1429,1.00124e-20,unknown
avg,null,8,6720,840,42.2619,2.27119e-25,unknown
avg,null,9,7560,840,37.381,1.24643e-09,unknown
avg,null,10,8400,840,35.7143,9.1834e-07,unknown
avg,null,11,9240,840,39.6429,1.8017e-14,unknown
avg,null,12,10080,840,31.6667,0.0176449,unknown
avg,null,13,10920,840,30.8333,0.243612,unknown
avg,null,14,11760,840,32.2619,0.00667605,unknown
avg,null,15,12600,840,33.0952,0.00138874,unknown
avg,null,16,13440,840,32.0238,0.0276291,unknown
avg,null,17,14280,840,31.6667,0.045095,unknown
avg,null,18,15120,840,31.5476,0.123213,unknown
avg,null,19,15960,840,30.8333,0.0646607,unknown
avg,null,20,16800,840,32.381,0.0356221,unknown
avg,null,21,17640,840,30.8333,0.12653,unknown
avg,null,22,18480,840,30.9524,0.114402,unknown
avg,null,23,19320,840,30.5952,0.261576,unknown
avg,null,24,20160,840,32.1429,0.0158119,unknown
avg,null,25,21000,840,30.3571,0.348033,unknown
avg,null,26,21840,840,38.8095,6.87974e-13,unknown
avg,null,27,22680,840,37.7381,1.89066e-09,unknown
avg,null,28,23520,840,33.3333,0.000108634,unknown
avg,null,29,24360,840,35.2381,7.72081e-07,unknown
avg,null,30,25200,840,34.2857,4.01335e-05,unknown
avg,null,31,26040,840,30.119,0.466891,unknown
avg,null,32,26880,840,33.4524,0.000658808,unknown
avg,null,33,27720,840,38.6905,6.31708e-16,unknown
avg,null,34,28560,840,31.1905,0.0382073,unknown
avg,null,35,29400,840,32.7381,0.00530167,unknown
avg,null,36,30240,840,31.7857,0.0251242,unknown
avg,null,37,31080,840,33.5714,9.30802e-05,unknown
avg,null,38,31920,840,32.1429,0.00606004,unknown
avg,null,39,32760,840,33.4524,0.00189125,unknown
avg,null,40,33600,840,31.6667,0.0918946,unknown
avg,null,41,34440,840,30.119,0.451063,unknown
avg,null,42,35280,840,34.4048,2.92029e-07,unknown
avg,null,43,36120,840,33.2143,0.00106965,unknown
avg,null,44,36960,840,31.5476,0.0099103,unknown
avg,null,45,37800,840,33.4524,9.6659e-05,unknown
avg,null,46,38640,840,34.2857,1.91822e-06,unknown
avg,null,47,39480,840,43.9286,3.8709e-27,unknown
avg,null,48,40320,840,43.6905,4.25539e-26,unknown
avg,null,49,41160,840,44.5238,1.50348e-31,unknown
avg,null,50,42000,840,39.6429,7.3323e-14,unknown
avg,null,51,42840,840,34.1667,1.91491e-05,unknown
avg,null,52,43680,840,42.9762,1.07239e-22,unknown
avg,null,53,44520,840,34.5238,2.55012e-05,unknown
avg,null,54,45360,840,30.8333,0.0302278,unknown
avg,null,55,46200,840,34.5238,3.71384e-05,unknown
avg,null,56,47040,840,32.8571,0.0113007,unknown
avg,null,57,47880,840,30.4762,0.332649,unknown
avg,null,58,48720,840,29.5238,0.372804,unknown
avg,null,59,49560,840,31.6667,0.0673614,unknown
avg,null,60,50400,840,31.1905,0.0942462,unknown
avg,null,61,51240,840,30.5952,0.0651557,unknown
avg,null,62,52080,840,31.1905,0.126307,unknown
avg,null,63,52920,840,30.3571,0.480265,unknown
avg,null,64,53760,840,32.2619,0.00181066,unknown
avg,null,65,54600,840,31.4286,0.108077,unknown
avg,null,66,55440,840,31.4286,0.121364,unknown
avg,null,67,56280,840,42.5,1.26589e-21,unknown
avg,null,68,57120,840,33.3333,9.39708e-05,unknown
avg,null,69,57960,840,33.0952,0.000265951,unknown
avg,null,70,58800,840,33.2143,0.000752018,unknown
avg,null,71,59640,840,35.5952,3.85852e-07,unknown
avg,null,72,60480,840,29.881,0.5194,unknown
avg,null,73,61320,840,32.1429,0.018989,unknown
avg,null,74,62160,840,38.8095,1.52873e-12,unknown
avg,null,75,63000,840,32.9762,0.00427292,unknown
avg,null,76,63840,840,36.0714,3.43473e-07,unknown
avg,null,77,64680,840,31.9048,0.0240858,unknown
avg,null,78,65520,840,30,0.580553,unknown
avg,null,79,66360,840,34.0476,0.000373252,unknown
avg,null,80,67200,840,31.1905,0.0659413,unknown
